"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAllianzVidaRiesgoValidation","Creation of the insurance record with provider 'Previs Vida' and validation it in Salesforce",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is selected",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeDetailPage","Click Call Me on product detail page",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestFIATCVidaValidation","Creation of the insurance record with provider 'Credit Andorra Life' and validation it in Salesforce",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeSecondPage","Click Call Me on the 2nd step of web funnel form (product is not selected)",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAxaVidaProtecValidation","Creation of the insurance record with provider AsisaVida and validation it in Salesforce",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestPrevisVidaValidation","Creation of the insurance record with provider 'Zurich Vida' and validation it in Salesforce",""
"broken","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","setUp","Open browser",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoWeCallYouFreeTest","Creation of the insurance record",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMe4PageNotProduct","Click Call Me on the 4th step of the web funnel (where a result list is present), when product is not selected",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeThirdPage","Click Call Me on the 3d step of web funnel form (product is not selected)",""
