"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestZurichVidaValidation","Creation of the insurance record with provider 'FIATC Vida' and validation it in Salesforce",""
"broken","Thu Mar 16 13:00:28 GMT 2023","Thu Mar 16 13:00:28 GMT 2023","1","Build Verification Test","Validate the recurring demand","com.itechart.tests.AciertoRecurringDemandTest","com.itechart.tests.AciertoRecurringDemandTest","setUp","Open browser",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeFirstPage","Click Call Me on the 1st step of the web funnel form (product is not selected)",""
"broken","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","setUp","Open browser",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the test creation throw CallMe form","com.itechart.tests.AciertoCallMeTest","com.itechart.tests.AciertoCallMeTest","acietroCallMeComparisonPage","Click Call Me on comparison detail page",""
"skipped","Thu Mar 16 13:00:28 GMT 2023","Thu Mar 16 13:00:28 GMT 2023","0","Build Verification Test","Validate the recurring demand","com.itechart.tests.AciertoRecurringDemandTest","com.itechart.tests.AciertoRecurringDemandTest","aciertoParentCase","Recurring demand: Choosing from grouped cases",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","0","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestCreditAndorraLifeVidaValidation","Creation of the insurance record with provider 'Santalucía Vida' and validation it in Salesforce",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTest","Creation of the insurance record",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestAsisaVidaValidation","Creation of the insurance record with provider 'Axa Vida Protec' and validation it in Salesforce",""
"skipped","Thu Mar 16 13:00:27 GMT 2023","Thu Mar 16 13:00:27 GMT 2023","1","Build Verification Test","Validate the standard test case creation","com.itechart.tests.AciertoTest","com.itechart.tests.AciertoTest","aciertoTestSantalucíaVidaValidation","Creation of the insurance record with provider 'Allianz Vida Riesgo' and validation it in Salesforce",""
